Code;Libellé;Date (M);Type;Types de notices(M);Usages (zones et sous zones) (M);Nom du référentiel;Nom_usage/web;Notes internes au document;Règle de contrôle;NORME Externe;Modalité de mise à jour;Valeur fixe;Responsable;Commentaire;CODE ou LISTE
oci;provençal => occitan.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
oci;quercinol => occitan.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
oci;rouergat => occitan.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
oci;vivaro-alpin => occitan.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
oji;algonkin => ojibwa.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
oji;chippewa => ojibwa.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
oji;ojibwa;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
oji;ottawa => ojibwa.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
ori;oriya;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
orm;galla;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
orm;oromo => galla.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
osa;osage;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
oss;ossète;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
ota;osmanli => turc ottoman.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
ota;turc ottoman;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
ota;turc ottoman (1500-1928) => turc ottoman.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
ota;turquien => turc ottoman.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
oto;chichimeco => langue otomi.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
oto;langue otomi;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
oto;matlalzinca => langue otomi.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
oto;mazahui => langue otomi.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
oto;ocuilteco => langue otomi.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
oto;otomi, langues => langue otomi.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
oto;otomi, langues => langue otomi.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
oto;pame => langue otomi.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
paa;kiwai => langue papoue.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
paa;langue papoue;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
paa;papoues, langues => langue papoue.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pag;pangasinan;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pal;moyen-perse => pahlavi.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pal;pahlavi;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pal;pahlvi (300 av. J.-C.-700 ap. J.-C.) => pahlavi.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pal;pehlevi (300 av. J.-C.-700 ap. J.-C.) => pahlavi.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pal;perse, moyen- => pahlavi.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pam;pampangan;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pan;panjabi => pendjabi.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pan;pendjabi;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pan;punjabi => pendjabi.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pap;papiamento;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pau;palau;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pau;palauan => palau.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
peo;perse, vieux (ca 600-400 av. J.-C.) => vieux perse.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
peo;vieux perse;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
per;dari => persan.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
per;farsi => persan.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
per;iranien => persan.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
per;parsi (après 700) => persan.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
per;persan;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
phi;langue philippine;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
phi;philippines, langues => langue philippine.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
phn;phénicien;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pli;pali;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pol;polonais;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pon;pohnpei;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
por;portugais;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pra;langue prâkrit;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pra;prâkrit, langues => langue prâkrit.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pro;occitan ancien;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pro;occitan ancien (jusqu'en 1500) => occitan ancien.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pro;provençal ancien (jusqu'en 1500) => occitan ancien.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
pus;afghan => pachto.;;;A;"A WWW $w pos. 06-08
  A 008 pos. 14-16
  A 041 $a
  A 041 $t
  A 041 $v
  B WWW $w pos. 06-08
  B 008 pos. 31-33
  B 041 $a
  B 041 $b
  B 041 $c
  B 041 $d
  B 041 $e
  B 041 $f
  B 041 $g
  B 041 $h
  B 041 $i
";CodeLangue;Code de langues;;;"un libellé suivi d’un "" => "" puis ""."" forme un renvoi.";;;;;CODE
